,id,city,street,housenumber,levels
420,30132677,,улица Плеханова,19/18,5
421,30132697,,улица Плеханова,16 к2,5
422,30132698,,улица Плеханова,18 к1,5
423,30132700,,улица Плющева,9 к2,5
424,30132701,,улица Плющева,9 к1,5
425,30132702,,улица Плеханова,14 к1,5
426,30132793,,улица Плющева,5 к1,5
427,30132794,,улица Плющева,10 к1,5
428,30132795,,улица Плющева,3,5
429,30132796,,Перовская улица,22 к4,5
430,30132797,,улица Плеханова,21,5
431,30132798,,улица Плеханова,27 к2,5
432,30132799,,улица Плеханова,27 к1,5
433,30136641,,улица Плеханова,31 к1,12
434,30136642,,улица Плеханова,31 к2,12
435,30136722,Москва,улица Рогожский Посёлок,1,5
436,30144885,,улица Талалихина,35,5
437,30144908,,1-я Дубровская улица,6Б,5
438,30144915,,улица Крутицкий Вал,5,4
439,30144934,,2-й Динамовский переулок,3,5
440,30159592,Москва,Марксистская улица,34 к7,5
441,30159596,Москва,Воронцовская улица,49/28 с1,5
442,30159624,Москва,Воронцовская улица,43,20
443,30170539,Москва,Средняя Калитниковская улица,51 к2,12
444,30189081,,улица Мельникова,18А,5
445,30189139,,1-я Дубровская улица,6А,5
446,30195232,,,,1
447,30195322,,Волгоградский проспект,26А,24
448,30386073,,Бакунинская улица,71 с10,8
449,30452403,,3-й Крутицкий переулок,16,4
450,30452459,,Динамовская улица,9 с1,6
451,30471633,,,,1
452,30528810,Москва,улица Земляной Вал,34,4
453,30799659,Москва,улица Михайлова,23,5
454,30799662,Москва,улица Михайлова,25,5
455,30799663,Москва,улица Михайлова,27,5
456,30799664,Москва,улица Михайлова,21,5
457,30799665,Москва,улица Михайлова,17,5
458,30799666,Москва,Зарайская улица,46 к2,5
459,30799667,,Шатурская улица,39,5
460,30799668,Москва,Зарайская улица,46 к1,5
461,30799669,Москва,Зарайская улица,41,5
462,30799670,,улица Маёвок,1 к1,12
463,30799671,Москва,улица Маёвок,3,12
464,30799672,Москва,улица Маёвок,5,12
465,30799676,Москва,Зарайская улица,25 к1,5
466,30799678,Москва,Зарайская улица,29,5
467,30799679,Москва,Зарайская улица,33,5
468,30799680,Москва,Зарайская улица,47 к1,12
469,30799682,Москва,Зарайская улица,49,12
470,30799684,Москва,Зарайская улица,51 к1,12
471,30799685,Москва,Зарайская улица,51 к2,12
472,30799687,Москва,улица Михайлова,22 к1,5
473,30799688,Москва,улица Михайлова,20 к1,5
474,30799702,Москва,Зарайская улица,55,3
475,30799703,Москва,улица Маёвок,4,3
476,30799705,Москва,Зарайская улица,58 к2,5
477,30799706,Москва,Зарайская улица,64,5
478,30799707,,Шатурская улица,49 к2,5
479,30799708,Москва,Зарайская улица,56,9
480,30817386,Москва,улица Симоновский Вал,2,5
481,30817838,Москва,1-я Дубровская улица,4Б,5
482,30988523,,Госпитальная площадь,2 к4,7
483,30988527,,Крюковский тупик,6,9
484,30994836,Москва,шоссе Энтузиастов,20,9
485,30994844,Москва,Авиамоторная улица,49 к2,5
486,30994852,Москва,Энергетическая улица,18,7
487,30996870,Москва,шоссе Энтузиастов,20Б,5
488,31153922,,2-й Крутицкий переулок,18 с3,3
489,31724082,Москва,Фурманный переулок,8,2
490,32146779,,Нижегородская улица,68,5
491,32146780,Москва,Нижегородская улица,66,5
492,32146781,Москва,Нижегородская улица,70 к3,16
493,32146785,Москва,Нижегородская улица,62,5
494,32146786,Москва,Нижегородская улица,60,5
495,32146788,Москва,Новохохловская улица,14,5
